"","gene_id","gene_name"
"406","ENSMUSG00000040657","1700063H04Rik"
"407","ENSMUSG00000099266","1700063H06Rik"
"408","ENSMUSG00000102036","1700063K16Rik"
"409","ENSMUSG00000101978","1700063O14Rik"
"410","ENSMUSG00000082766","1700064H15Rik"
"411","ENSMUSG00000100681","1700064J06Rik"
"412","ENSMUSG00000100211","1700064M15Rik"
"413","ENSMUSG00000096655","1700065D16Rik"
"414","ENSMUSG00000099435","1700065I16Rik"
"415","ENSMUSG00000100872","1700065J18Rik"
"416","ENSMUSG00000100134","1700065O20Rik"
"417","ENSMUSG00000101634","1700066B17Rik"
"418","ENSMUSG00000073598","1700066B19Rik"
"419","ENSMUSG00000101810","1700066C05Rik"
"420","ENSMUSG00000097717","1700066J03Rik"
"421","ENSMUSG00000038323","1700066M21Rik"
"422","ENSMUSG00000099605","1700066N21Rik"
"423","ENSMUSG00000085800","1700066O22Rik"
"424","ENSMUSG00000099378","1700067G17Rik"
"425","ENSMUSG00000046408","1700067K01Rik"
"426","ENSMUSG00000021545","1700067P10Rik"
"427","ENSMUSG00000053081","1700069B07Rik"
"428","ENSMUSG00000042184","1700069L16Rik"
"429","ENSMUSG00000086376","1700071G01Rik"
"430","ENSMUSG00000080980","1700071K01Rik"
"431","ENSMUSG00000090307","1700071M16Rik"
"432","ENSMUSG00000100487","1700072B07Rik"
"433","ENSMUSG00000101702","1700072G22Rik"
"434","ENSMUSG00000087204","1700073E17Rik"
"435","ENSMUSG00000099872","1700074H08Rik"
"436","ENSMUSG00000029883","1700074P13Rik"
"437","ENSMUSG00000032566","1700080E11Rik"
"438","ENSMUSG00000086771","1700080G11Rik"
"439","ENSMUSG00000084859","1700080N15Rik"
"440","ENSMUSG00000031118","1700080O16Rik"
"441","ENSMUSG00000100573","1700081H04Rik"
"442","ENSMUSG00000023737","1700082M22Rik"
"443","ENSMUSG00000100668","1700083H02Rik"
"444","ENSMUSG00000070532","1700084C01Rik"
"445","ENSMUSG00000086016","1700084C06Rik"
"446","ENSMUSG00000100747","1700084E18Rik"
"447","ENSMUSG00000099639","1700084F23Rik"
"448","ENSMUSG00000058101","1700084J12Rik"
"449","ENSMUSG00000057805","1700084M14Rik"
"450","ENSMUSG00000100890","1700085C21Rik"
"451","ENSMUSG00000020548","1700086D15Rik"
"452","ENSMUSG00000071265","1700086L19Rik"
"453","ENSMUSG00000097080","1700086O06Rik"
"454","ENSMUSG00000085085","1700086P04Rik"
"455","ENSMUSG00000087653","1700087M22Rik"
"456","ENSMUSG00000033029","1700088E04Rik"
"457","ENSMUSG00000090462","1700091H14Rik"
"458","ENSMUSG00000086781","1700092C02Rik"
"459","ENSMUSG00000092499","1700092C10Rik"
"460","ENSMUSG00000085353","1700092C17Rik"
"461","ENSMUSG00000084811","1700092E19Rik"
"462","ENSMUSG00000078600","1700092K14Rik"
"463","ENSMUSG00000090840","1700092M07Rik"
"464","ENSMUSG00000022915","1700093J21Rik"
"465","ENSMUSG00000020286","1700093K21Rik"
"466","ENSMUSG00000101695","1700094J05Rik"
"467","ENSMUSG00000100430","1700095A13Rik"
"468","ENSMUSG00000086046","1700095A21Rik"
"469","ENSMUSG00000098230","1700095B10Rik"
"470","ENSMUSG00000085407","1700095J03Rik"
"471","ENSMUSG00000084861","1700095J07Rik"
"472","ENSMUSG00000084804","1700095J12Rik"
"473","ENSMUSG00000099630","1700096J18Rik"
"474","ENSMUSG00000101856","1700096K18Rik"
"475","ENSMUSG00000099474","1700097N02Rik"
"476","ENSMUSG00000091906","1700099I09Rik"
"477","ENSMUSG00000101051","1700100L14Rik"
"478","ENSMUSG00000079502","1700101E01Rik"
"479","ENSMUSG00000097675","1700101I11Rik"
"480","ENSMUSG00000045815","1700101I19Rik"
"481","ENSMUSG00000102096","1700101O22Rik"
"482","ENSMUSG00000032611","1700102P08Rik"
"483","ENSMUSG00000049476","1700104B16Rik"
"484","ENSMUSG00000099923","1700105P06Rik"
"485","ENSMUSG00000034031","1700106J16Rik"
"486","ENSMUSG00000098681","1700106J16Rik"
"487","ENSMUSG00000101009","1700108F19Rik"
"488","ENSMUSG00000100585","1700108J01Rik"
"489","ENSMUSG00000084837","1700108N11Rik"
"490","ENSMUSG00000101505","1700109G14Rik"
"491","ENSMUSG00000085044","1700109G15Rik"
"492","ENSMUSG00000008307","1700109H08Rik"
"493","ENSMUSG00000101261","1700109I08Rik"
"494","ENSMUSG00000097267","1700109K24Rik"
"495","ENSMUSG00000099384","1700110C19Rik"
"496","ENSMUSG00000079407","1700110I01Rik"
"497","ENSMUSG00000100732","1700110I07Rik"
"498","ENSMUSG00000087047","1700110K17Rik"
"499","ENSMUSG00000029837","1700111E14Rik"
"500","ENSMUSG00000100511","1700111N16Rik"
"501","ENSMUSG00000091329","1700112D23Rik"
"502","ENSMUSG00000063458","1700112E06Rik"
"503","ENSMUSG00000101574","1700112H15Rik"
"504","ENSMUSG00000086632","1700112J05Rik"
"505","ENSMUSG00000097527","1700112J16Rik"
"506","ENSMUSG00000087510","1700112K13Rik"
"507","ENSMUSG00000096935","1700113A16Rik"
"508","ENSMUSG00000047129","1700113H08Rik"
"509","ENSMUSG00000092276","1700116B05Rik"
"510","ENSMUSG00000100593","1700119H24Rik"
"511","ENSMUSG00000082488","1700119I11Rik"
"512","ENSMUSG00000045391","1700120B22Rik"
"513","ENSMUSG00000100599","1700120C14Rik"
"514","ENSMUSG00000098086","1700120C18Rik"
"515","ENSMUSG00000086333","1700120E14Rik"
"516","ENSMUSG00000100717","1700120G07Rik"
"517","ENSMUSG00000086068","1700120G11Rik"
"518","ENSMUSG00000099579","1700120K04Rik"
"519","ENSMUSG00000093386","1700120O09Rik"
"520","ENSMUSG00000086275","1700121C08Rik"
"521","ENSMUSG00000099574","1700121L03Rik"
